,id,title,release_date,popularity,vote_average,vote_count
378,640,Catch Me If You Can,2002-12-25,77.133,8.0,12530
379,552532,Charm City Kings,2020-01-27,13.35,8.0,293
380,76203,12 Years a Slave,2013-10-18,22.981,7.9,9683
381,11010,The Postman,1994-04-07,8.236,7.9,917
382,10404,Raise the Red Lantern,1991-12-18,10.586,7.9,526
383,5925,The Great Escape,1963-06-20,13.977,7.9,1987
384,615453,Ne Zha,2019-07-26,24.964,7.9,264
385,316029,The Greatest Showman,2017-12-20,23.832,7.9,8109
386,152532,Dallas Buyers Club,2013-11-01,13.927,7.9,7326
387,745,The Sixth Sense,1999-08-06,28.028,7.9,9544
388,508943,Luca,2021-06-17,289.322,7.9,6280
389,597316,My Little Pony: A New Generation,2021-09-23,117.063,7.9,207
390,49964,Where Is My Friend's House?,1987-07-01,5.313,7.9,201
391,2011,Persepolis,2007-06-27,13.25,7.9,1534
392,14160,Up,2009-05-28,81.413,7.9,17179
393,3034,Young Frankenstein,1974-12-15,13.793,7.9,2562
394,662,La Jetée,1962-02-16,9.308,7.9,656
395,32085,Vincent,1982-10-01,6.315,7.9,699
396,9323,Ghost in the Shell,1995-11-18,25.431,7.9,2537
397,223,Rebecca,1940-03-23,12.473,7.9,1298
398,1646,Freedom Writers,2007-01-05,22.312,7.9,1776
399,491480,The Boy Who Harnessed the Wind,2019-02-14,21.906,7.9,1275
400,946,Letter from an Unknown Woman,1948-04-28,6.15,7.9,224
401,899405,Anonymously Yours,2021-12-10,49.618,7.9,263
402,548544,Invisible Life,2019-08-30,6.361,7.9,237
403,3083,Mr. Smith Goes to Washington,1939-10-19,9.952,7.9,789
404,334533,Captain Fantastic,2016-07-08,17.528,7.9,5412
405,150540,Inside Out,2015-06-09,90.847,7.9,17843
406,33,Unforgiven,1992-08-07,20.351,7.9,3405
407,78,Blade Runner,1982-06-25,37.286,7.9,11447
408,435129,The Breadwinner,2017-11-17,11.545,7.9,612
409,6977,No Country for Old Men,2007-06-13,27.089,7.9,9700
410,56231,The Working Class Goes to Heaven,1971-09-17,6.31,7.9,270
411,60243,A Separation,2011-03-15,11.406,7.9,1328
412,10674,Mulan,1998-06-18,111.951,7.9,8044
413,197,Braveheart,1995-03-14,34.469,7.9,8366
414,8290,La Grande Vadrouille,1966-12-08,14.413,7.9,1039
415,183011,Justice League: The Flashpoint Paradox,2013-07-30,36.6,7.9,1446
416,16390,Scooby-Doo! and the Samurai Sword,2009-04-07,14.097,7.9,202
417,829,Chinatown,1974-06-20,17.694,7.9,2951
418,25364,Ace in the Hole,1951-06-29,10.011,7.9,479
419,24167,Two Women,1960-12-22,7.281,7.9,415
420,10728,Faust,1926-10-13,6.656,7.9,252
421,85,Raiders of the Lost Ark,1981-06-12,27.916,7.9,10089
422,48035,Ordet,1955-01-09,6.996,7.9,261
423,43949,Flipped,2010-08-06,36.059,7.9,2190
424,81,Nausicaä of the Valley of the Wind,1984-03-11,23.608,7.9,2677
425,10386,The Iron Giant,1999-08-06,67.934,7.9,4517
